Day	Month	Year	Qty	Unit Price	Sales Person ID	amount
1	6	2019	23	10	7	230
14	6	2019	22	10	3	220
25	6	2019	17	10	8	170
10	7	2019	19	10	5	190
20	7	2019	23	10	2	230
22	7	2019	10	10	1	100
23	7	2019	13	10	6	130
25	7	2019	9	10	10	90
28	7	2019	21	10	1	210
29	7	2019	18	10	10	180
12	8	2019	14	10	6	140
18	8	2019	7	10	8	70
22	8	2019	20	10	3	200
24	8	2019	11	10	1	110
28	8	2019	7	10	6	70
4	6	2019	8	15	9	120
5	6	2019	19	15	1	285
7	6	2019	23	15	9	345
16	6	2019	24	15	9	360
20	6	2019	23	15	3	345
22	6	2019	18	15	1	270
28	6	2019	7	15	10	105
8	7	2019	19	15	10	285
13	7	2019	13	15	3	195
16	7	2019	7	15	5	105
17	7	2019	19	15	5	285
31	7	2019	24	15	9	360
1	8	2019	22	15	9	330
6	8	2019	10	15	10	150
7	8	2019	12	15	2	180
10	8	2019	15	15	10	225
15	8	2019	18	15	5	270
27	8	2019	17	15	6	255
2	6	2019	20	8	7	160
8	6	2019	23	8	10	184
10	6	2019	20	8	1	160
13	6	2019	24	8	5	192
19	6	2019	17	8	3	136
26	6	2019	9	8	1	72
29	6	2019	6	8	4	48
1	7	2019	15	8	2	120
7	7	2019	21	8	2	168
26	7	2019	7	8	10	56
3	8	2019	25	8	6	200
9	8	2019	10	8	6	80
13	8	2019	15	8	8	120
16	8	2019	8	8	6	64
21	8	2019	13	8	1	104
11	6	2019	18	5	2	90
17	6	2019	22	5	1	110
23	6	2019	24	5	6	120
2	7	2019	7	5	5	35
4	7	2019	15	5	6	75
5	7	2019	22	5	4	110
11	7	2019	15	5	1	75
14	7	2019	8	5	10	40
19	7	2019	6	5	6	30
4	8	2019	11	5	10	55
19	8	2019	12	5	3	60
25	8	2019	12	5	4	60
						9534
